player_id,player_name,position,has_beard,has_mustache,is_redhead
00-0034955,00-0034955,Unknown,False,False,False
00-0034966,00-0034966,Unknown,False,False,False
00-0034967,00-0034967,Unknown,True,True,False
00-0034968,00-0034968,Unknown,True,True,False
00-0034973,00-0034973,Unknown,True,True,True
00-0034974,00-0034974,Unknown,True,True,False
00-0034982,00-0034982,Unknown,True,True,False
00-0034987,00-0034987,Unknown,True,True,False
00-0034990,00-0034990,Unknown,True,True,False
00-0034992,00-0034992,Unknown,True,True,False
00-0034993,00-0034993,Unknown,True,True,False
00-0034999,00-0034999,Unknown,True,True,False
00-0035000,00-0035000,Unknown,True,True,False
00-0035020,00-0035020,Unknown,True,True,False
00-0035026,00-0035026,Unknown,True,True,False
00-0035073,00-0035073,Unknown,True,True,False
00-0035076,00-0035076,Unknown,True,True,True
00-0035098,00-0035098,Unknown,True,True,False
00-0035133,00-0035133,Unknown,True,True,False
00-0035142,00-0035142,Unknown,True,True,False
00-0035144,00-0035144,Unknown,True,False,False
00-0035150,00-0035150,Unknown,True,True,False
00-0035157,00-0035157,Unknown,False,False,False
00-0035166,00-0035166,Unknown,True,True,False
00-0035202,00-0035202,Unknown,True,True,False
00-0035227,00-0035227,Unknown,True,True,False
00-0035230,00-0035230,Unknown,True,True,False
00-0035231,00-0035231,Unknown,True,True,False
00-0035236,00-0035236,Unknown,True,True,False
00-0035239,00-0035239,Unknown,True,True,False
00-0035240,00-0035240,Unknown,True,True,False
00-0035241,00-0035241,Unknown,True,True,False
00-0035248,00-0035248,Unknown,False,False,False
00-0035251,00-0035251,Unknown,True,True,False
00-0035253,00-0035253,Unknown,True,True,False
00-0035254,00-0035254,Unknown,True,True,False
00-0035255,00-0035255,Unknown,True,True,False
00-0035262,00-0035262,Unknown,True,True,False
00-0035265,00-0035265,Unknown,False,False,False
00-0035272,00-0035272,Unknown,False,False,False
00-0035276,00-0035276,Unknown,True,False,False
00-0035277,00-0035277,Unknown,False,True,False
00-0035278,00-0035278,Unknown,True,True,False
00-0035279,00-0035279,Unknown,True,True,False
00-0035292,00-0035292,Unknown,True,True,False
00-0035301,00-0035301,Unknown,True,True,False
00-0035316,00-0035316,Unknown,True,True,False
00-0035330,00-0035330,Unknown,True,True,False
00-0035346,00-0035346,Unknown,True,True,False
00-0035352,00-0035352,Unknown,True,True,False
00-0035357,00-0035357,Unknown,True,True,False
00-0035363,00-0035363,Unknown,True,True,False
00-0035378,00-0035378,Unknown,True,True,False
00-0035386,00-0035386,Unknown,True,True,False
00-0035402,00-0035402,Unknown,True,True,False
00-0035409,00-0035409,Unknown,True,True,False
00-0035444,00-0035444,Unknown,True,True,False
00-0035455,00-0035455,Unknown,True,True,False
00-0035525,00-0035525,Unknown,True,True,False
00-0035625,00-0035625,Unknown,True,True,False
00-0035633,00-0035633,Unknown,True,True,False
00-0035636,00-0035636,Unknown,True,True,False
00-0035637,00-0035637,Unknown,True,False,False
00-0035642,00-0035642,Unknown,True,True,False
00-0035643,00-0035643,Unknown,True,True,False
00-0035646,00-0035646,Unknown,True,True,False
00-0035647,00-0035647,Unknown,True,True,False
00-0035655,00-0035655,Unknown,True,True,False
00-0035656,00-0035656,Unknown,True,True,False
00-0035665,00-0035665,Unknown,True,True,False
00-0035667,00-0035667,Unknown,True,True,False
00-0035669,00-0035669,Unknown,True,True,False
00-0035672,00-0035672,Unknown,True,True,False
00-0035674,00-0035674,Unknown,True,True,False
00-0035678,00-0035678,Unknown,True,True,False
00-0035680,00-0035680,Unknown,True,True,False
00-0035681,00-0035681,Unknown,True,True,False
00-0035683,00-0035683,Unknown,True,True,False
00-0035687,00-0035687,Unknown,True,True,False
00-0035692,00-0035692,Unknown,True,True,False
00-0035693,00-0035693,Unknown,True,True,False
00-0035696,00-0035696,Unknown,True,True,False
00-0035697,00-0035697,Unknown,True,True,False
00-0035699,00-0035699,Unknown,True,True,False
00-0035705,00-0035705,Unknown,True,True,False
00-0035707,00-0035707,Unknown,False,False,False
00-0035713,00-0035713,Unknown,True,True,False
00-0035717,00-0035717,Unknown,True,True,False
00-0035718,00-0035718,Unknown,True,True,False
00-0035763,00-0035763,Unknown,True,True,False
00-0035795,00-0035795,Unknown,True,True,False
00-0035841,00-0035841,Unknown,True,True,False
00-0035857,00-0035857,Unknown,True,True,False
00-0035862,00-0035862,Unknown,True,True,False
00-0035890,00-0035890,Unknown,True,True,False
00-0035895,00-0035895,Unknown,True,True,False
00-0035900,00-0035900,Unknown,True,True,False
00-0035903,00-0035903,Unknown,True,True,False
00-0035910,00-0035910,Unknown,True,True,False
00-0035933,00-0035933,Unknown,True,True,False
00-0035942,00-0035942,Unknown,True,True,False
00-0035944,00-0035944,Unknown,True,True,False
00-0035946,00-0035946,Unknown,True,True,False
00-0035961,00-0035961,Unknown,True,True,False
00-0035984,00-0035984,Unknown,False,True,False
00-0036011,00-0036011,Unknown,False,True,False
00-0036037,00-0036037,Unknown,True,True,False
00-0036043,00-0036043,Unknown,True,True,False
00-0036045,00-0036045,Unknown,True,True,False
00-0036050,00-0036050,Unknown,True,True,False
00-0036081,00-0036081,Unknown,True,True,False
00-0036087,00-0036087,Unknown,True,True,False
00-0036090,00-0036090,Unknown,True,True,False
00-0036124,00-0036124,Unknown,True,True,False
00-0036130,00-0036130,Unknown,True,True,False
00-0036151,00-0036151,Unknown,True,True,False
00-0036152,00-0036152,Unknown,True,True,False
00-0036157,00-0036157,Unknown,True,True,False
00-0036159,00-0036159,Unknown,True,True,False
00-0036166,00-0036166,Unknown,True,True,False
00-0036167,00-0036167,Unknown,False,False,False
00-0036181,00-0036181,Unknown,True,True,False
00-0036192,00-0036192,Unknown,True,True,False
00-0036193,00-0036193,Unknown,True,True,False
00-0036197,00-0036197,Unknown,True,False,False
00-0036199,00-0036199,Unknown,True,True,False
00-0036204,00-0036204,Unknown,True,True,False
00-0036213,00-0036213,Unknown,True,True,False
00-0036220,00-0036220,Unknown,True,True,False
00-0036221,00-0036221,Unknown,True,True,False
00-0036222,00-0036222,Unknown,True,True,False
00-0036224,00-0036224,Unknown,True,True,False
00-0036231,00-0036231,Unknown,True,True,False
00-0036235,00-0036235,Unknown,True,True,False
00-0036237,00-0036237,Unknown,True,True,False
00-0036249,00-0036249,Unknown,True,True,False
00-0036253,00-0036253,Unknown,False,False,False
00-0036260,00-0036260,Unknown,True,True,False
00-0036262,00-0036262,Unknown,True,True,False
00-0036266,00-0036266,Unknown,True,True,False
00-0036274,00-0036274,Unknown,True,True,False
00-0036280,00-0036280,Unknown,True,True,False
00-0036281,00-0036281,Unknown,True,True,False
00-0036282,00-0036282,Unknown,True,True,False
00-0036285,00-0036285,Unknown,True,True,False
00-0036286,00-0036286,Unknown,True,True,False
00-0036287,00-0036287,Unknown,True,True,False
00-0036288,00-0036288,Unknown,True,True,False
00-0036289,00-0036289,Unknown,True,True,False
00-0036291,00-0036291,Unknown,True,False,False
00-0036292,00-0036292,Unknown,True,True,False
00-0036293,00-0036293,Unknown,True,True,False
00-0036294,00-0036294,Unknown,True,True,False
00-0036298,00-0036298,Unknown,False,True,False
00-0036299,00-0036299,Unknown,True,True,False
00-0036300,00-0036300,Unknown,False,False,False
00-0036302,00-0036302,Unknown,False,False,False
00-0036306,00-0036306,Unknown,True,True,False
